Data;Índice Geral de Preços - Disponibilidade Interna - IGP-DI (161384)
08/1994;100,000
09/1994;101,549
10/1994;104,143
11/1994;106,720
12/1994;107,325
01/1995;108,785
02/1995;110,039
03/1995;112,035
04/1995;114,614
05/1995;115,071
06/1995;118,090
07/1995;120,733
08/1995;122,289
09/1995;120,967
10/1995;121,241
11/1995;122,850
12/1995;123,187
01/1996;125,397
02/1996;126,353
03/1996;126,627
04/1996;127,509
05/1996;129,655
06/1996;131,240
07/1996;132,674
08/1996;132,679
09/1996;132,849
10/1996;133,141
11/1996;133,517
12/1996;134,689
01/1997;136,814
02/1997;137,390
03/1997;138,990
04/1997;139,807
05/1997;140,229
06/1997;141,207
07/1997;141,330
08/1997;141,268
09/1997;142,101
10/1997;142,587
11/1997;143,771
12/1997;144,765
01/1998;146,038
02/1998;146,067
03/1998;146,408
04/1998;146,211
05/1998;146,544
06/1998;146,951
07/1998;146,398
08/1998;146,144
09/1998;146,111
10/1998;146,063
11/1998;145,797
12/1998;147,231
01/1999;148,921
02/1999;155,528
03/1999;158,600
04/1999;158,647
05/1999;158,100
06/1999;159,711
07/1999;162,253
08/1999;164,612
09/1999;167,028
10/1999;170,182
11/1999;174,496
12/1999;176,647
01/2000;178,454
02/2000;178,800
03/2000;179,128
04/2000;179,357
05/2000;180,563
06/2000;182,236
07/2000;186,353
08/2000;189,746
09/2000;191,049
10/2000;191,763
11/2000;192,506
12/2000;193,970
01/2001;194,920
02/2001;195,580
03/2001;197,151
04/2001;199,374
05/2001;200,251
06/2001;203,167
07/2001;206,450
08/2001;208,315
09/2001;209,111
10/2001;212,135
11/2001;213,756
12/2001;214,137
01/2002;214,535
02/2002;214,927
03/2002;215,170
04/2002;216,673
05/2002;219,070
06/2002;222,872
07/2002;227,441
08/2002;232,818
09/2002;238,973
10/2002;249,042
11/2002;263,580
12/2002;270,692
01/2003;276,578
02/2003;280,984
03/2003;285,640
04/2003;286,815
05/2003;284,900
06/2003;282,913
07/2003;282,349
08/2003;284,105
09/2003;287,081
10/2003;288,337
11/2003;289,718
12/2003;291,462
01/2004;293,793
02/2004;296,976
03/2004;299,746
04/2004;303,184
05/2004;307,616
06/2004;311,576
07/2004;315,113
08/2004;319,244
09/2004;320,788
10/2004;322,492
11/2004;325,148
12/2004;326,833
01/2005;327,915
02/2005;329,241
03/2005;332,490
04/2005;334,170
05/2005;333,321
06/2005;331,823
07/2005;330,484
08/2005;327,887
09/2005;327,454
10/2005;329,529
11/2005;330,619
12/2005;330,835
01/2006;333,222
02/2006;333,030
03/2006;331,531
04/2006;331,607
05/2006;332,851
06/2006;335,067
07/2006;335,637
08/2006;337,011
09/2006;337,817
10/2006;340,541
11/2006;342,482
12/2006;343,384
01/2007;344,850
02/2007;345,652
03/2007;346,407
04/2007;346,878
05/2007;347,421
06/2007;348,328
07/2007;349,628
08/2007;354,495
09/2007;358,633
10/2007;361,308
11/2007;365,100
12/2007;370,485
01/2008;374,139
02/2008;375,558
03/2008;378,194
04/2008;382,414
05/2008;389,585
06/2008;396,954
07/2008;401,406
08/2008;399,870
09/2008;401,327
10/2008;405,707
11/2008;405,982
12/2008;404,185
01/2009;404,244
02/2009;403,737
03/2009;400,353
04/2009;400,530
05/2009;401,232
06/2009;399,966
07/2009;397,393
08/2009;397,758
09/2009;398,738
10/2009;398,575
11/2009;398,857
12/2009;398,407
01/2010;402,425
02/2010;406,826
03/2010;409,399
04/2010;412,341
05/2010;418,811
06/2010;420,241
07/2010;421,154
08/2010;425,788
09/2010;430,453
10/2010;434,882
11/2010;441,754
12/2010;443,427
01/2011;447,764
02/2011;452,047
03/2011;454,805
04/2011;457,059
05/2011;457,090
06/2011;456,490
07/2011;456,258
08/2011;459,055
09/2011;462,509
10/2011;464,349
11/2011;466,331
12/2011;465,586
01/2012;466,979
02/2012;467,308
03/2012;469,910
04/2012;474,683
05/2012;479,019
06/2012;482,311
07/2012;489,621
08/2012;495,949
09/2012;500,314
10/2012;498,739
11/2012;499,989
12/2012;503,283
01/2013;504,830
02/2013;505,832
03/2013;507,375
04/2013;507,087
05/2013;508,715
06/2013;512,598
07/2013;513,313
08/2013;515,688
09/2013;522,690
10/2013;525,966
11/2013;527,422
12/2013;531,056
01/2014;533,197
02/2014;537,703
03/2014;545,684
04/2014;548,145
05/2014;545,652
06/2014;542,194
07/2014;539,210
08/2014;539,550
09/2014;539,649
10/2014;542,853
11/2014;549,040
12/2014;551,149
01/2015;554,835
02/2015;557,803
03/2015;564,568
04/2015;569,738
05/2015;572,034
06/2015;575,938
07/2015;579,293
08/2015;581,618
09/2015;589,897
10/2015;600,269
11/2015;607,441
12/2015;610,128
01/2016;619,476
02/2016;624,366
03/2016;627,060
04/2016;629,345
05/2016;636,468
06/2016;646,868
07/2016;644,356
08/2016;647,153
09/2016;647,360
10/2016;648,213
11/2016;648,561
12/2016;653,951
01/2017;656,778
02/2017;657,191
03/2017;654,709
04/2017;646,573
05/2017;643,260
06/2017;637,079
07/2017;635,198
08/2017;636,714
09/2017;640,654
10/2017;641,279
11/2017;646,422
12/2017;651,214
