IPC - Índice Mensal - Número Índice;
2017;
Mês;Vest.
dez;156,8032
nov;156,6386
out;156,2721
set;155,9226
ago;156,2117
jul;156,4976
jun;156,4829
mai;156,7274
abr;156,5457
mar;156,5696
fev;156,6343
jan;157,2987
2016;
Mês;Vest.
dez;158,6698
nov;155,8258
out;154,2057
set;153,7184
ago;152,433
jul;152,1152
jun;153,6215
mai;153,1354
abr;151,8223
mar;150,4125
fev;148,2298
jan;147,6915
2015;
Mês;Vest.
dez;148,2635
nov;147,5244
out;146,7961
set;145,8854
ago;145,1344
jul;144,7581
jun;145,0243
mai;144,9701
abr;144,5418
mar;143,3692
fev;142,5231
jan;143,1685
2014;
Mês;Vest.
dez;143,4673
nov;143,0841
out;142,0682
set;141,5378
ago;141,2253
jul;141,5435
jun;142,3542
mai;141,4612
abr;140,6983
mar;140,5957
fev;139,9655
jan;139,9871
2013;
Mês;Vest.
dez;140,3429
nov;139,184
out;138,7168
set;138,9753
ago;137,453
jul;138,279
jun;138,6375
mai;138,3181
abr;137,1136
mar;136,8582
fev;136,2591
jan;135,7766
2012;
Mês;Vest.
dez;136,2292
nov;136,1833
out;133,2303
set;133,4554
ago;132,9591
jul;132,6679
jun;133,5044
mai;133,2827
abr;133,4411
mar;132,2627
fev;132,0256
jan;132,6114
2011;
Mês;Vest.
dez;131,8251
nov;131,3322
out;129,5695
set;130,5135
ago;129,6868
jul;128,617
jun;129,6107
mai;128,1446
abr;126,7565
mar;125,8951
fev;125,8655
jan;125,9047
2010;
Mês;Vest.
dez;125,8533
nov;125,012
out;123,9646
set;124,2388
ago;123,5673
jul;123,2666
jun;123,5771
mai;122,7838
abr;122,2285
mar;121,3342
fev;120,8013
jan;120,9582
2009;
Mês;Vest.
dez;121,7919
nov;120,8134
out;120,3976
set;120,3764
ago;119,4769
jul;119,3978
jun;120,321
mai;120,2301
abr;119,9049
mar;119,4106
fev;118,7506
jan;119,4775
2008;
Mês;Vest.
dez;120,1543
nov;118,7062
out;118,2492
set;117,6198
ago;116,9421
jul;117,3857
jun;117,4174
mai;116,7765
abr;114,9984
mar;114,2629
fev;114,1732
jan;114,0997
2007;
Mês;Vest.
dez;115,0818
nov;114,0095
out;113,3804
set;113,7811
ago;113,8596
jul;115,0704
jun;115,7894
mai;115,6445
abr;115,5448
mar;114,509
fev;114,4989
jan;115,3339
2006;
Mês;Vest.
dez;115,724
nov;114,9175
out;114,8734
set;114,9777
ago;114,6712
jul;114,8112
jun;115,8936
mai;115,3745
abr;114,9262
mar;113,7771
fev;114,028
jan;115,1681
2005;
Mês;Vest.
dez;115,4336
nov;114,438
out;113,9934
set;113,982
ago;113,336
jul;113,529
jun;112,5387
mai;112,719
abr;112,2923
mar;111,368
fev;111,6135
jan;112,5363
2004;
Mês;Vest.
dez;112,841
nov;111,9343
out;111,6106
set;110,3963
ago;109,6071
jul;109,4757
jun;111,3917
mai;109,9513
abr;109,6443
mar;109,4473
fev;109,338
jan;110,2753
2003;
Mês;Vest.
dez;111,1534
nov;109,944
out;109,7574
set;109,2005
ago;108,3231
jul;108,6927
jun;108,8341
mai;107,6606
abr;106,2895
mar;105,2684
fev;104,5055
jan;103,5734
2002;
Mês;Vest.
dez;104,1462
nov;103,3709
out;102,2765
set;101,0039
ago;100,5714
jul;100,3907
jun;100,3004
mai;99,9905
abr;99,8008
mar;99,6016
fev;99,3929
jan;99,8422
2001;
Mês;Vest.
dez;99,2763
nov;98,5471
out;96,8807
set;96,1882
ago;95,9675
jul;94,7827
jun;94,6407
mai;94,1137
abr;93,7481
mar;93,5143
fev;93,4582
jan;94,6029
2000;
Mês;Vest.
dez;95,0783
nov;95,2116
out;94,8228
set;94,558
ago;94,0128
jul;93,4428
jun;93,3308
mai;92,6268
abr;91,6734
mar;89,9288
fev;90,7272
jan;91,6992
1999;
Mês;Vest.
dez;92,0582
nov;92,252
out;92,5667
set;91,978
ago;91,5842
jul;94,3001
jun;92,5508
mai;90,7094
abr;89,0094
mar;83,5533
fev;84,4058
jan;86,0757
1998;
Mês;Vest.
dez;88,066
nov;89,2893
out;89,7289
set;89,5766
ago;94,3011
jul;97,7113
jun;99,6037
mai;97,4596
abr;92,5191
mar;86,799
fev;91,5409
jan;94,5768
1997;
Mês;Vest.
dez;97,0914
nov;96,801
out;96,5789
set;97,4954
ago;99,4546
jul;105,1762
jun;107,0496
mai;104,2454
abr;98,9984
mar;92,4614
fev;96,6563
jan;100,2971
1996;
Mês;Vest.
dez;103,0909
nov;102,7518
out;101,4532
set;100,7179
ago;103,089
jul;105,4727
jun;107,1877
mai;105,8644
abr;98,0589
mar;93,9351
fev;100,0161
jan;105,1583
1995;
Mês;Vest.
dez;106,414
nov;108,3646
out;109,4481
set;109,7885
ago;110,318
jul;116,6892
jun;118,2142
mai;114,0293
abr;105,5241
mar;99,2607
fev;101,6183
jan;103,0402
1994;
Mês;Vest.
dez;103,4644
nov;104,5306
out;100,2692
set;100,8136
ago;102,6824
jul;102,07
jun;100
