"Tabela 289 - Quantidade produzida e valor da produção na extração vegetal, por tipo de produto extrativo"
"Variável - Quantidade produzida na extração vegetal (Toneladas)"
"";"Ano";"Tipo de produto extrativo"
"";"Ano";""
"Brasil";"1986";"179269489"
"Brasil";"1987";"173830908"
"Brasil";"1988";"177600274"
"Brasil";"1989";"187988868"
"Brasil";"1990";"211424835"
"Brasil";"1991";"150901020"
"Brasil";"1992";"153213016"
"Brasil";"1993";"160954045"
"Brasil";"1994";"156011443"
"Brasil";"1995";"150050017"
"Brasil";"1996";"120679797"
"Brasil";"1997";"92039503"
"Brasil";"1998";"83666718"
"Brasil";"1999";"79338243"
"Brasil";"2000";"75589021"
"Brasil";"2001";"72666841"
"Brasil";"2002";"74252761"
"Brasil";"2003";"71675627"
"Brasil";"2004";"69949959"
"Brasil";"2005";"67225861"
"Brasil";"2006";"67016487"
"Brasil";"2007";"64225638"
"Brasil";"2008";"59818710"
"Brasil";"2009";"59609337"
"Brasil";"2010";"53718302"
"Brasil";"2011";"54588191"
"Brasil";"2012";"51927378"
"Brasil";"2013";"47188756"
"Brasil";"2014";"44354540"
"Brasil";"2015";"41768439"
"Brasil";"2016";"38591455"
"Fonte: IBGE - Produção da Extração Vegetal e da Silvicultura"

"Notas"
"1 - Os municípios sem informação para pelo menos um produto da extração vegetal não aparecem nas listas."
"2 - Até 2001 era pesquisada a erva-mate cancheada. A partir de 2002 passou-se a pesquisar a erva-mate folha verde."
"3 - Valor da produção na extração vegetal: Variável derivada calculada pela média ponderada das informações de quantidade e preço médio corrente pago ao produtor, de acordo com os períodos de colheita e comercialização de cada produto. As despesas de frete, taxas e impostos não são incluídas no preço."
"4 - Os dados do último ano divulgado são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação."
