"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Unidade da Federação";"Ano";"Tipo de rebanho"
"Unidade da Federação";"Ano";"Suíno - total"
"Piauí";"1974";"1416308"
"Piauí";"1975";"2028058"
"Piauí";"1976";"2004705"
"Piauí";"1977";"1901844"
"Piauí";"1978";"1892460"
"Piauí";"1979";"1912385"
"Piauí";"1980";"1364737"
"Piauí";"1981";"1275700"
"Piauí";"1982";"1272468"
"Piauí";"1983";"1058198"
"Piauí";"1984";"1082679"
"Piauí";"1985";"1481357"
"Piauí";"1986";"1514010"
"Piauí";"1987";"1553407"
"Piauí";"1988";"1595132"
"Piauí";"1989";"1636370"
"Piauí";"1990";"1677871"
"Piauí";"1991";"1717910"
"Piauí";"1992";"1671993"
"Piauí";"1993";"1574647"
"Piauí";"1994";"1611991"
"Piauí";"1995";"1650962"
"Piauí";"1996";"1417249"
"Piauí";"1997";"1415067"
"Piauí";"1998";"1405068"
"Piauí";"1999";"1401310"
"Piauí";"2000";"1396607"
"Piauí";"2001";"1391213"
"Piauí";"2002";"1373690"
"Piauí";"2003";"1367654"
"Piauí";"2004";"1360494"
"Piauí";"2005";"1355070"
"Piauí";"2006";"1349942"
"Piauí";"2007";"1159335"
"Piauí";"2008";"1150329"
"Piauí";"2009";"974543"
"Piauí";"2010";"949570"
"Piauí";"2011";"935279"
"Piauí";"2012";"891040"
"Piauí";"2013";"857208"
"Piauí";"2014";"837765"
"Piauí";"2015";"810313"
"Piauí";"2016";"793301"
"Fonte: IBGE - Pesquisa Pecuária Municipal"

"Notas"
"1 - Os municípios sem informação para pelo menos um efetivo de rebanho não aparecem nas listas."
"2 - Efetivos dos rebanhos em 31/12."
"3 - Os dados sobre matrizes de suínos só estão disponíveis a partir de 2013.
4 - Os dados do último ano divulgado são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação."
