Data;20360 - Índice da taxa de câmbio efetiva nominal - Jun/1994=100 - Índice
06/1994;100,00
07/1994;94,88
08/1994;91,45
09/1994;88,46
10/1994;87,33
11/1994;86,45
12/1994;86,10
01/1995;85,78
02/1995;85,72
03/1995;93,06
04/1995;96,83
05/1995;95,18
06/1995;97,12
07/1995;98,71
08/1995;97,86
09/1995;97,93
10/1995;99,57
11/1995;99,32
12/1995;99,11
01/1996;99,02
02/1996;99,51
03/1996;99,71
04/1996;99,39
05/1996;99,39
06/1996;99,93
07/1996;100,95
08/1996;102,30
09/1996;102,15
10/1996;102,03
11/1996;103,03
12/1996;102,62
01/1997;101,63
02/1997;100,35
03/1997;100,52
04/1997;100,45
05/1997;101,86
06/1997;102,39
07/1997;101,72
08/1997;101,07
09/1997;102,40
10/1997;103,75
11/1997;104,50
12/1997;103,75
01/1998;103,29
02/1998;104,23
03/1998;104,41
04/1998;105,13
05/1998;106,23
06/1998;105,96
07/1998;106,33
08/1998;106,94
09/1998;110,34
10/1998;113,80
11/1998;113,29
12/1998;114,94
01/1999;143,16
02/1999;179,48
03/1999;175,71
04/1999;156,28
05/1999;154,70
06/1999;160,71
07/1999;163,65
08/1999;173,51
09/1999;175,81
10/1999;183,43
11/1999;178,26
12/1999;168,70
01/2000;165,01
02/2000;160,18
03/2000;156,51
04/2000;157,96
05/2000;160,29
06/2000;161,30
07/2000;159,60
08/2000;157,98
09/2000;158,38
10/2000;160,64
11/2000;166,72
12/2000;170,49
01/2001;171,22
02/2001;174,51
03/2001;180,57
04/2001;188,05
05/2001;196,07
06/2001;201,03
07/2001;208,60
08/2001;215,83
09/2001;230,68
10/2001;235,55
11/2001;217,37
12/2001;201,90
01/2002;193,74
02/2002;188,11
03/2002;178,46
04/2002;173,20
05/2002;183,61
06/2002;201,25
07/2002;221,24
08/2002;232,51
09/2002;249,04
10/2002;282,90
11/2002;269,30
12/2002;275,68
01/2003;266,78
02/2003;279,85
03/2003;269,65
04/2003;246,54
05/2003;239,89
06/2003;234,57
07/2003;232,63
08/2003;239,54
09/2003;234,50
10/2003;233,89
11/2003;238,42
12/2003;242,87
01/2004;240,02
02/2004;246,68
03/2004;242,29
04/2004;241,18
05/2004;255,25
06/2004;258,78
07/2004;251,95
08/2004;248,09
09/2004;239,21
10/2004;238,28
11/2004;236,64
12/2004;233,69
01/2005;230,24
02/2005;222,30
03/2005;232,06
04/2005;220,01
05/2005;208,36
06/2005;201,99
07/2005;197,93
08/2005;198,73
09/2005;192,92
10/2005;188,06
11/2005;182,60
12/2005;189,49
01/2006;189,97
02/2006;179,80
03/2006;179,34
04/2006;178,24
05/2006;185,62
06/2006;190,41
07/2006;185,72
08/2006;183,69
09/2006;184,13
10/2006;182,06
11/2006;184,41
12/2006;185,64
01/2007;183,42
02/2007;179,60
03/2007;179,83
04/2007;176,29
05/2007;172,29
06/2007;167,63
07/2007;164,64
08/2007;171,22
09/2007;166,63
10/2007;159,61
11/2007;158,83
12/2007;160,01
01/2008;159,72
02/2008;156,27
03/2008;157,63
04/2008;156,83
05/2008;153,26
06/2008;149,86
07/2008;147,84
08/2008;147,17
09/2008;161,06
10/2008;186,21
11/2008;188,93
12/2008;202,09
01/2009;192,49
02/2009;190,16
03/2009;187,48
04/2009;182,72
05/2009;172,45
06/2009;166,79
07/2009;164,37
08/2009;157,47
09/2009;156,53
10/2009;150,82
11/2009;151,08
12/2009;152,04
01/2010;153,49
02/2010;156,24
03/2010;151,22
04/2010;148,34
05/2010;149,27
06/2010;147,22
07/2010;146,73
08/2010;147,00
09/2010;144,57
10/2010;144,92
11/2010;146,89
12/2010;143,26
01/2011;143,32
02/2011;143,60
03/2011;144,00
04/2011;139,12
05/2011;141,44
06/2011;139,32
07/2011;137,21
08/2011;140,08
09/2011;150,14
10/2011;151,78
11/2011;152,43
12/2011;154,93
01/2012;150,56
02/2012;145,94
03/2012;152,06
04/2012;156,58
05/2012;165,42
06/2012;169,04
07/2012;166,82
08/2012;167,45
09/2012;169,38
10/2012;169,95
11/2012;172,05
12/2012;173,70
01/2013;169,75
02/2013;163,95
03/2013;163,09
04/2013;164,46
05/2013;166,61
06/2013;177,91
07/2013;183,13
08/2013;190,96
09/2013;184,86
10/2013;179,29
11/2013;186,40
12/2013;189,68
01/2014;189,63
02/2014;187,27
03/2014;182,37
04/2014;174,83
05/2014;173,67
06/2014;174,22
07/2014;173,31
08/2014;175,42
09/2014;178,10
10/2014;185,66
11/2014;191,11
12/2014;195,92
01/2015;192,44
02/2015;203,86
03/2015;223,68
04/2015;217,88
05/2015;220,06
06/2015;223,17
07/2015;228,98
08/2015;247,60
09/2015;274,63
10/2015;273,39
11/2015;262,44
12/2015;263,91
01/2016;267,97
02/2016;262,22
03/2016;246,34
04/2016;240,46
05/2016;237,96
06/2016;229,40
07/2016;216,75
08/2016;214,01
09/2016;216,17
10/2016;209,49
11/2016;215,98
12/2016;213,19
01/2017;203,70
02/2017;199,59
03/2017;201,39
04/2017;202,90
05/2017;208,54
06/2017;215,35
07/2017;209,76
08/2017;208,35
09/2017;208,93
10/2017;210,70
11/2017;215,57
12/2017;216,32
Fonte;BCB-DSTAT
